File path,Package,Method,CSEC
.\main\java\org\jfree\chart\event\RendererChangeEvent.java, org.jfree.chart.event, RendererChangeEvent, 68
.\main\java\org\jfree\chart\event\RendererChangeListener.java, org.jfree.chart.event, RendererChangeListener, 31
.\main\java\org\jfree\chart\event\TitleChangeEvent.java, org.jfree.chart.event, TitleChangeEvent, 50
.\main\java\org\jfree\chart\event\TitleChangeListener.java, org.jfree.chart.event, TitleChangeListener, 10
.\main\java\org\jfree\chart\imagemap\DynamicDriveToolTipTagFragmentGenerator.java, org.jfree.chart.imagemap, DynamicDriveToolTipTagFragmentGenerator, 3
.\main\java\org\jfree\chart\imagemap\ImageMapUtils.java, org.jfree.chart.imagemap, ImageMapUtils, 54
.\main\java\org\jfree\chart\imagemap\OverLIBToolTipTagFragmentGenerator.java, org.jfree.chart.imagemap, OverLIBToolTipTagFragmentGenerator, 9
.\main\java\org\jfree\chart\imagemap\package-info.java, org.jfree.chart.imagemap, package-info, 0
.\main\java\org\jfree\chart\imagemap\StandardToolTipTagFragmentGenerator.java, org.jfree.chart.imagemap, StandardToolTipTagFragmentGenerator, 11
.\main\java\org\jfree\chart\imagemap\StandardURLTagFragmentGenerator.java, org.jfree.chart.imagemap, StandardURLTagFragmentGenerator, 10
.\main\java\org\jfree\chart\imagemap\ToolTipTagFragmentGenerator.java, org.jfree.chart.imagemap, ToolTipTagFragmentGenerator, 12
.\main\java\org\jfree\chart\imagemap\URLTagFragmentGenerator.java, org.jfree.chart.imagemap, URLTagFragmentGenerator, 12
.\main\java\org\jfree\chart\internal\Args.java, org.jfree.chart.internal, Args, 1285
.\main\java\org\jfree\chart\internal\ArrayUtils.java, org.jfree.chart.internal, ArrayUtils, 6
.\main\java\org\jfree\chart\internal\CloneUtils.java, org.jfree.chart.internal, CloneUtils, 591
.\main\java\org\jfree\chart\internal\HashUtils.java, org.jfree.chart.internal, HashUtils, 204
.\main\java\org\jfree\chart\internal\LineUtils.java, org.jfree.chart.internal, LineUtils, 25
.\main\java\org\jfree\chart\internal\package-info.java, org.jfree.chart.internal, package-info, 0
.\main\java\org\jfree\chart\internal\PaintUtils.java, org.jfree.chart.internal, PaintUtils, 245
.\main\java\org\jfree\chart\internal\SerialUtils.java, org.jfree.chart.internal, SerialUtils, 723
.\main\java\org\jfree\chart\internal\ShapeUtils.java, org.jfree.chart.internal, ShapeUtils, 109
.\main\java\org\jfree\chart\JFreeChart.java, org.jfree.chart, JFreeChart, 666
.\main\java\org\jfree\chart\labels\AbstractCategoryItemLabelGenerator.java, org.jfree.chart.labels, AbstractCategoryItemLabelGenerator, 24
.\main\java\org\jfree\chart\labels\AbstractPieItemLabelGenerator.java, org.jfree.chart.labels, AbstractPieItemLabelGenerator, 15
.\main\java\org\jfree\chart\labels\AbstractXYItemLabelGenerator.java, org.jfree.chart.labels, AbstractXYItemLabelGenerator, 18
