File path,Total non-comment lines
DefaultBoxAndWhiskerXYDatasetTest.java,97
DefaultMultiValueCategoryDatasetTest.java,152
DefaultStatisticalCategoryDatasetTest.java,159
HistogramBinTest.java,33
HistogramDatasetTest.java,141
MeanAndStandardDeviationTest.java,32
RegressionTest.java,134
SimpleHistogramBinTest.java,89
SimpleHistogramDatasetTest.java,54
StatisticsTest.java,296
DateRangeTest.java,43
DayTest.java,360
FixedMillisecondTest.java,36
HourTest.java,328
MillisecondTest.java,335
MinuteTest.java,318
MonthTest.java,374
MovingAverageTest.java,41
QuarterTest.java,388
SecondTest.java,314
SimpleTimePeriodTest.java,95
TimePeriodAnchorTest.java,18
TimePeriodValuesCollectionTest.java,109
TimePeriodValuesTest.java,172
TimePeriodValueTest.java,34
TimeSeriesCollectionTest.java,307
TimeSeriesDataItemTest.java,32
TimeSeriesTest.java,786
